# corpus-provenance.tsv - SNAPSHOT taken 2026-07-29. NOT auto-generated; do NOT overwrite
# it with build_corpus_manifest.py output.
#
# WHY: build_corpus_manifest.py NULLS steam_buildid/size/sha256 on any row whose on-disk
# bytes stopped being the corpus bytes (by design - it must not assert the wrong build).
# So the pointer to the build a .rep was made from is lost the first time the game
# patches. Palworld drifted on 2026-07-29. This file preserves it. Re-snapshot BEFORE a
# game updates, not after.
#
# reproduce_via, strongest first:
#   STEAM-BACKUP-MANIFEST  a sku.sis backup holds the EXACT depot manifest ids. Recover
#                          with: steamcmd +download_depot <app> <depot> <manifest>.
#                          Survives uninstall AND delisting. Best possible case.
#   STEAMDB-BUILDID        exact: SteamDB app -> Builds -> this buildid -> depot manifest.
#   STEAMDB-MANIFEST       manifest id resolved by hand off SteamDB's depot history and
#                          cross-checked against an independent record in the repo. The
#                          reasoning is kept in date_meaning - do not drop it, it is the
#                          only thing that makes the id auditable.
#   STEAMDB-BY-MTIME       appid known, no buildid/backup: narrow by file_modified on
#                          SteamDB, then confirm with md5_at_import.
#   STEAMLOG-MANIFEST      no appid of its own, BUT Steam's console_log.txt logged a depot
#                          download whose window contains the file's mtime. That names the
#                          app, depot and exact manifest. A STRONG CANDIDATE, not a proof -
#                          download it and confirm against md5_at_import. This is what
#                          rescues the <ARCHIVE> rows, which have no identity
#                          of their own. The Steam log ROTATES: snapshot it early.
#   REBUILD                self-built - recompile from the installed engine.
#   NONE-HASH-ONLY         archive copies re-saved locally; they came from an old manifest
#                          and map back to none. md5/sha256 is all there is.
#
# USE file_modified, NOT file_created. A copy RESETS ctime but PRESERVES mtime, so for an
# install -> copy -> uninstall workflow the mtime is still the original Steam write time.
# Measured here: Hogwarts ctime 2026-07-29 / mtime 2025-12-04; Octopath mtime 2025-05-12;
# Palworld mtime 2026-07-15 = the pre-patch corpus build. An earlier pass of this file
# read ctime and wrongly concluded the dates were destroyed by the corpus move.
#
# md5_at_import is Ghidra's own import-time record. It is the ONLY identity that survives
# the file being deleted or replaced, so it is the final arbiter in every case.
tag	source	reproduce_via	steam_app_id	steam_buildid	depot_manifests	steamlog_candidate	manifest_size	sha256	md5_at_import	file_created	file_modified	file_size_now	date_meaning	path_snapshotted	sku_sis
UE4.23-Flying	self-built	REBUILD	-	-	-	-	51270656	f50551723f2f48fc437275cad4af81d807ce95bb2ed508667798f37671a1c302	f61ec1be259922847178fe6a0a42817b	2026-07-28 09:38	2026-07-28 09:37	51270656	build time	<UEPROJECTS>\UE423_Flying\Binaries_Shipping\Win64\UE423_Flying-Win64-Shipping.exe	-
UE4.24-DropIn	archive	STEAMLOG-MANIFEST	-	-	-	1144800:1144801:5221052602514244898 (+1 alt: 8071507168854653981)	179261952	dbd9a78d9aae4b5003d3730258c8a17f1fabf1b5f5007f225457be7c9daaad3e	2f640ff0d11784a430a1edb845743e1f	2026-07-26 13:14	2026-07-26 13:14	179261952	mtime falls inside a logged depot download - manifest is a strong CANDIDATE	<ARCHIVE>\DropIn\UE4.24\DropIn\Binaries\Win64\DropIn.exe	-
UE4.25-Everspace2	archive	STEAMLOG-MANIFEST	-	-	-	1128920:1128921:1228092871900976040 (+6 alt: 5235170890177666837,4713640358549407449)	74764800	39923eeecbb2c38ccd3499b28b515b18168067727e1f206446a71959f7f7762c	0588eacdee27ea0bf105727789727fd8	2026-07-25 23:01	2026-07-25 23:01	74764800	mtime falls inside a logged depot download - manifest is a strong CANDIDATE	<ARCHIVE>\ES2\UE4.25.2\ES2\Binaries\Win64\ES2-Win64-Shipping.exe	-
UE4.26-Satisfactory	archive	STEAMLOG-MANIFEST	-	-	-	526870:526871:5072022484048628830 (+2 alt: 4631200912822720421,5971929977835941106)	4352000	adbd790fb1f8121e5b12fc0d0f2a2f84139c6efcb3578b29653ddd18298defd2	ba47b71affb0d1b94e8a6c37c8c96f80	2026-07-25 23:51	2026-07-25 23:51	4352000	mtime falls inside a logged depot download - manifest is a strong CANDIDATE	<ARCHIVE>\Satisfactory\UE4.26.2\Engine\Binaries\Win64\FactoryGame-CoreUObject-Win64-Shipping.dll	-
UE4.27-Artisan	steam	STEAMDB-BUILDID	4160210	24370745	-	-	79533056	ce4d1ed01245664d4dcec81a21198f8217584fa9ec46dad14d1c19a0bb16f5f7	1425c04e00c05ad8a29450070f131415	2026-07-24 18:42	2026-07-24 18:42	79533056	exact buildid on hand; date is corroboration	<STEAMLIB>\steamapps\common\The Artisan of Glimmith\Geri\Binaries\Win64\Geri-Win64-Shipping.exe	-
UE4.27-Breeders	steam	STEAMDB-BUILDID	1161770	19541577	-	-	76761088	8321f7108c45164dbf24cd2ca9ba2b25715de86339adf3bfef61e9b7f9932597	b2747cfcc9d56e1ea52717ca1c1958d1	2026-07-27 15:54	2026-07-27 15:54	76761088	exact buildid on hand; date is corroboration	<STEAMLIB>\steamapps\common\Breeders of the Nephelym\OBF\Binaries\Win64\OBF-Win64-Shipping.exe	-
UE4.27-DQ7R	steam	STEAMDB-BUILDID	2499860	22393810	-	-	397812552	cad34f3a4be6f1a2e5980c59bb29eacb5f1c37870e5e46a1e5a3845a967390c1	0258248483c4fce5b427e89d25780563	2026-04-08 10:22	2026-04-08 10:22	397812552	exact buildid on hand; date is corroboration	<STEAMLIB>\steamapps\common\DQ7R\DQ7R\Binaries\Win64\DQ7R-Win64-Shipping.exe	-
UE4.27-DropIn	steam	STEAMDB-BUILDID	1144800	18632234	-	-	179308032	fc2684d7248c93674e92fbdd634a407b12c8627bca783576002a27531b880400	a3418669177c263dc6bc61c754612287	2026-07-28 23:31	2026-07-28 23:31	179308032	exact buildid on hand; date is corroboration	<STEAMLIB>\steamapps\common\Drop In - VR Battle Royale\DropIn\Binaries\Win64\DropIn.exe	-
UE4.27-Hogwarts	steam	STEAM-BACKUP-MANIFEST	990080	-	990081:5198899101792588169; 990082:7167310505439807086	-	-	-	fd1ab9ddf069ba2b25e1fbc2cf516d7a	2026-07-29 00:27	2025-12-04 15:42	450656768	exact depot manifest on hand; date irrelevant	<CORPUS>\Game Binary backup\Hogwarts Legacy\HogwartsLegacy.exe	<STEAMLIB> backup\霍格華茲的傳承\sku.sis
UE4.27-Maelstrom	steam	STEAMDB-BUILDID	764050	17505083	-	-	100398592	96decad4c5fb592fec3ed84b53cbee9bb2b4f235d69524dcde3784165f293fdd	1a66f1a9356ccae85a463179a8b1b678	2026-07-27 16:01	2026-07-27 16:01	100398592	exact buildid on hand; date is corroboration	<STEAMLIB>\steamapps\common\Maelstrom\MaelstromV2\Binaries\Win64\MaelstromV2-Win64-Shipping.exe	-
UE4.x-FF7Rebirth	steam	STEAM-BACKUP-MANIFEST	2909400	-	2909401:73573156178669865	-	-	-	e44e4213e47037b8a497a832e41d2398	2026-07-29 07:56	2026-06-04 09:44	124317952	exact depot manifest on hand; date irrelevant	<CORPUS>\Game Binary backup\FINAL FANTASY VII REBIRTH\ff7rebirth_.exe	<STEAMLIB> backup\FINAL FANTASY VII REBIRTH\FINAL FANTASY VII REBIRTH\sku.sis
UE5.0-LightMaze	steam	STEAMDB-BUILDID	2023910	9229695	-	-	82985984	f1c968f5579fbd7f46895825be45f0cbb6bc5828a82f525cfdd73665a5150e17	c7e81c5978209af2dc0660b61c5bdf03	2026-07-27 18:57	2026-07-27 18:57	82985984	exact buildid on hand; date is corroboration	<STEAMLIB>\steamapps\common\Light Maze\LightMaze\Binaries\Win64\LightMaze-Win64-Shipping.exe	-
UE5.1-Grimhook	steam	STEAMDB-BUILDID	2667430	13931099	-	-	109675520	38344f6312b76db79817b04b39c73f9a5276353cb88dd1035d9f669eddc46131	aec276fa6110cb944d1be980b894b596	2026-07-27 14:33	2026-07-27 14:33	109675520	exact buildid on hand; date is corroboration	<STEAMLIB>\steamapps\common\Grimhook\Grimhook\Binaries\Win64\Grimhook-Win64-Shipping.exe	-
UE5.1-Palworld	steam	STEAMDB-BUILDID	1623730	24181527	-	-	161348096	2ff94a03bc777661be100249b4940242f70661d890c6b8f8aca4d6dce79ee5a5	fb10d568f6a3ad2a74572ca46a73af20	2026-07-29 00:36	2026-07-15 13:35	161348096	exact buildid on hand; date is corroboration	<CORPUS>\Game Binary backup\Palworld\Palworld-Win64-Shipping.exe	-
UE5.2-SatGameDLL	archive	STEAMLOG-MANIFEST	-	-	-	526870:526871:4713640358549407449 (+4 alt: 3007809920758804289,5072022484048628830)	19124224	60622f42c3de3aaeca828a556a22c444ab8f0e3757821058e24f6f172feb480d	ec8a8f1af6f6095a3389cae71987f87c	2026-07-25 23:20	2026-07-25 23:20	19124224	mtime falls inside a logged depot download - manifest is a strong CANDIDATE	<ARCHIVE>\Satisfactory\UE5.2.1\FactoryGame\Binaries\Win64\FactoryGame-FactoryGame-Win64-Shipping.dll	-
UE5.2-Satisfactory	archive	STEAMLOG-MANIFEST	-	-	-	526870:526871:4713640358549407449 (+4 alt: 3007809920758804289,5072022484048628830)	4387840	67288047f97c0bb0ab634be31cab3a173ded217beb539f31324f15e9a1d3fa45	3fcc1ef529cf51cc466dd4521c507252	2026-07-25 23:20	2026-07-25 23:20	4387840	mtime falls inside a logged depot download - manifest is a strong CANDIDATE	<ARCHIVE>\Satisfactory\UE5.2.1\Engine\Binaries\Win64\FactoryGame-CoreUObject-Win64-Shipping.dll	-
UE5.3-Avowed	steam	STEAMDB-BUILDID	2457220	22470595	-	-	195299448	5d99df74bff2c825a8d621730210b4e08442a94ee1b8c6ef0bc88e92cea91c01	b20a14f7dffbbaf3b7bfdce54efc345c	2026-06-16 23:02	2026-06-16 23:02	195299448	exact buildid on hand; date is corroboration	<STEAMLIB>\steamapps\common\Avowed\Alabama\Binaries\Win64\Avowed-Win64-Shipping.exe	-
UE5.4-Elliot	steam	STEAMDB-BUILDID	3483510	24232671	-	-	482390784	d8c9280a129b5f08a0c4259557acde4bd3195a779e2198ca9095981e0baade3c	793b10b0b6411aa6788d8057d66c4e03	2026-07-24 15:18	2026-07-24 15:18	482390784	exact buildid on hand; date is corroboration	<STEAMLIB>\steamapps\common\The Adventures of Elliot_The Millennium Tales\Elliot\Binaries\Win64\Elliot-Win64-Shipping.exe	-
UE5.5-Everspace2	steam	STEAMDB-MANIFEST	1128920	-	1128920:1128921:4415922863161237626	-	-	-	1a1b0ede76b80a173969343683579129	2025-06-27 10:27	2025-06-27 10:27	169063424	SteamDB: published 2025-05-16, the manifest live on the 05-17 snapshot date. CONFIRMED by sweep.sh's own independent note 'two manifests newer (2025-06-17 vs the 05-17 snapshot)': newer than this one are 2025-05-28 and 2025-06-17 = exactly two. The 2025-05-12 alternative (5104604053195963718) would leave THREE and is thereby excluded.	<STEAMLIB>\steamapps\common\EVERSPACE™ 2\ES2\Binaries\Win64\ES2-Win64-Shipping.exe	-
UE5.5-Everspace2b	steam	STEAMDB-MANIFEST	1128920	18856734	1128920:1128921:735055807809773736	-	169063424	cb44e9c0a2a30630881f0c5b79d78f389b092d618cbcb8d6eedc6522ba8a9d7c	85daf780d2b1cdf6ffb0ca017d0ba3b2	2025-06-27 10:27	2025-06-27 10:27	169063424	SteamDB: published 2025-06-17, matching this row's recorded build date, and it is the manifest currently installed.	<STEAMLIB>\steamapps\common\EVERSPACE™ 2\ES2\Binaries\Win64\ES2-Win64-Shipping.exe	-
UE5.5-ManorLords	steam	STEAMDB-BUILDID	1363080	24113073	-	-	161016320	42a14f8b66050553027ac8f644e32e74cea00da4cb90057bdfc190bca36f6f1d	1337fa1f6d488ef2ce12bafc2a201405	2026-07-29 00:30	2026-07-10 16:49	161016320	exact buildid on hand; date is corroboration	<CORPUS>\Game Binary backup\Manor Lords\ManorLords-Win64-Shipping.exe	-
UE5.5-Meltopia	steam	STEAMDB-BUILDID	3601800	24135356	-	-	173547008	f3683db255ddec5fac5e701d1fbeb97ff00afd5dfba8b74643ad91a8fa408f7f	bed6161f888a2f91ccc5d9d1284339f9	2026-07-26 10:04	2026-07-26 10:04	173547008	exact buildid on hand; date is corroboration	<STEAMLIB>\steamapps\common\Meltopia\Meltopia\Binaries\Win64\Meltopia-Win64-Shipping.exe	-
UE5.6-Satisfactory	steam	STEAMDB-BUILDID	526870	23855724	-	-	5973000	c92b4f1d00c1f05246a386581233b3f8e81fd9c7a15bf67b0ac6866853bd90df	c48c90e11e32f9f3ee0d9e716d523978	2026-06-25 10:01	2026-06-25 10:01	5973000	exact buildid on hand; date is corroboration	<STEAMLIB>\steamapps\common\Satisfactory\Engine\Binaries\Win64\FactoryGameSteam-CoreUObject-Win64-Shipping.dll	-
UE5.6-TQ2	steam	STEAMDB-BUILDID	1154030	24337495	-	-	182717952	b232ba42057decd67ff65d2669aa944b73e22b6e5f68a2243ad4aa532a0ba82a	7cbd74e9e9569013ec9e0477081c762c	2026-07-21 09:54	2026-07-21 09:54	182717952	exact buildid on hand; date is corroboration	<STEAMLIB>\steamapps\common\Titan Quest II\TQ2\Binaries\Win64\TQ2-Win64-Shipping.exe	-
UE5.7-Solarpunk	steam	STEAMDB-BUILDID	1805110	24038177	-	-	131750400	32aecc7de5b3ca57aa5d71b472a1992a5469470d66d1c0ecff1706f7e005bd0d	0183b6d7c5545c71d3c48fba527e01f9	2026-07-25 14:30	2026-07-25 14:30	131750400	exact buildid on hand; date is corroboration	<STEAMLIB>\steamapps\common\Solarpunk\Solarpunk\Binaries\Win64\SolarpunkSteam-Win64-Shipping.exe	-
UE5.7.4-StackOBot	self-built	REBUILD	-	-	-	-	158196736	47b402eeac8599576691713840460ba534df5776444d8b86d932cadfb26fa348	a3210d8989fa95bf33fdc691b2c090a3	2026-07-28 15:43	2026-07-28 15:42	158196736	build time	<CORPUS>\Varies Version builds\5.7\Stack_O_Bot\Shipping\Windows\StackOBot\Binaries\Win64\StackOBot-Win64-Shipping.exe	-
UE5.8-StackOBot	self-built	REBUILD	-	-	-	-	175386624	9f26de2d2968549bb90bbcea0a04a3afa48547ff6abc132b4219c756c500a635	03a2c57f56f617d6bdaf508d56a740bf	2026-07-28 12:20	2026-07-28 12:19	175386624	build time	<CORPUS>\Varies Version builds\5.8\Stack_O_Bot\Shipping\Windows\StackOBot\Binaries\Win64\StackOBot-Win64-Shipping.exe	-
UEx-DQ12HD2D	steam	STEAM-BACKUP-MANIFEST	2893570	21744054	2893571:5258844536216943832	-	92199240	4c0a3b982bb328320a55f9d06a6f672be7b2d896f3e84ed7ce9446a17213074f	2522e08e12366937733a629d2f46c775	2026-07-29 00:29	2026-03-09 18:48	92199240	exact depot manifest on hand; date irrelevant	<CORPUS>\Game Binary backup\DRAGON QUEST I and II HD-2D Remake\DQIandIIHD2DRemake.exe	<STEAMLIB> backup\勇者鬥惡龍I & II HD-2D Remake\I & II HD-2D Remake\sku.sis
